Lasi,Lasi.Chtono,Lasi.jaune,Lasi_alie,Lasi_alie.gr,Lasi_brun,Lasi_emar,Lasi_flav,Lasi_fuli,Lasi_mixt,Lasi_myop,Lasi_nige,Lasi_nige.plat,Lasi_para,Lasi_plat,Lasi_psam,Lasi_umbr
13522,NA,3771,10008,518,506,53,1021,180,4753,5818,674,NA,2110,497,20350,NA
13898C,NA,18536,12831,7739B,648,82,1105,366,8333,16201,810,NA,2732,564,NA,NA
NA,NA,NA,NA,NA,1013,248,1149,444,8413,16736,1007,NA,4969,664,NA,NA
NA,NA,NA,NA,NA,1057,294,1366,545,17295,17232,2328,NA,5558,1096,NA,NA
NA,NA,NA,NA,NA,1984,301,1685,583,9991919,16418,2402,NA,5839,1121,NA,NA
NA,NA,NA,NA,NA,2061,407,1791,720,12012B,9993114,2765,NA,5842,1450,NA,NA
NA,NA,NA,NA,NA,2097,538,1812,759,20087,NA,2875,NA,5956,1695,NA,NA
NA,NA,NA,NA,NA,2372,547,1932,783,12345,NA,3193,NA,7089,1822,NA,NA
NA,NA,NA,NA,NA,2472,699,1964,871,3574,NA,6224,NA,7446,1847,NA,NA
NA,NA,NA,NA,NA,2509,741,3595,1230,13250,NA,6385,NA,8539,1934,NA,NA
NA,NA,NA,NA,NA,2692,781,5458,1337,8485,NA,6540,NA,8613,1951,NA,NA
NA,NA,NA,NA,NA,2749,795,5755,1506,17387,NA,7315,NA,8704,1959,NA,NA
NA,NA,NA,NA,NA,2896,1015,6013,1980,19986B,NA,7513,NA,9419,1989,NA,NA
NA,NA,NA,NA,NA,3320,1095,6562,1992,NA,NA,8205,NA,10185,2018,NA,NA
NA,NA,NA,NA,NA,4487,1114,6629,2012,NA,NA,9849,NA,10239,2028,NA,NA
NA,NA,NA,NA,NA,5089,1200,7275,2027,NA,NA,10533,NA,10269,2048,NA,NA
NA,NA,NA,NA,NA,5403,1240,7312,2180,NA,NA,10559,NA,10271,2058,NA,NA
NA,NA,NA,NA,NA,5525,1244,7400,2290,NA,NA,10964,NA,11417,2059,NA,NA
NA,NA,NA,NA,NA,5536,1496,7431,2293,NA,NA,11678,NA,12188,2062,NA,NA
NA,NA,NA,NA,NA,5561,1528,7857,2304,NA,NA,14681,NA,12425,2064,NA,NA
NA,NA,NA,NA,NA,5615,1562,8601,2380,NA,NA,14795,NA,NA,2076,NA,NA
NA,NA,NA,NA,NA,5672,1604,8674,2389,NA,NA,15310,NA,15726,2109,NA,NA
NA,NA,NA,NA,NA,5673,1629,8678,2428,NA,NA,15464,NA,18479,2142,NA,NA
NA,NA,NA,NA,NA,5695,1770,9346,2430,NA,NA,15618,NA,18747,2181,NA,NA
NA,NA,NA,NA,NA,5717,1824,9457,2449,NA,NA,15629,NA,18757,2193,NA,NA
NA,NA,NA,NA,NA,6051,1846,9461,2474,NA,NA,15693,NA,11551B,2199,NA,NA
NA,NA,NA,NA,NA,6206,1979,9751,2599,NA,NA,15810,NA,12055B,2206,NA,NA
NA,NA,NA,NA,NA,6230,2246,10055,2644,NA,NA,15933,NA,16356B,2216,NA,NA
NA,NA,NA,NA,NA,6336,2272,10930,2820,NA,NA,15997,NA,5602B,2234,NA,NA
NA,NA,NA,NA,NA,6970,2280,11140,2958,NA,NA,16792,NA,6803B,2359,NA,NA
NA,NA,NA,NA,NA,7282,2288,11376,2978,NA,NA,16977,NA,9990363,2609,NA,NA
NA,NA,NA,NA,NA,7402,2390,11609,3068,NA,NA,18192,NA,9990547,2654,NA,NA
NA,NA,NA,NA,NA,8384,2395,12258,3312,NA,NA,18304,NA,9990589,2768,NA,NA
NA,NA,NA,NA,NA,8621,2638,12355,3324,NA,NA,19674,NA,9991374,2859,NA,NA
NA,NA,NA,NA,NA,8925,2666,12380,3519,NA,NA,19869,NA,9991954,2888,NA,NA
NA,NA,NA,NA,NA,9043,2690,12780,3617,NA,NA,20161,NA,9992158,2901,NA,NA
NA,NA,NA,NA,NA,10046,2734,12818,3923,NA,NA,20277,NA,9990779,2923,NA,NA
NA,NA,NA,NA,NA,10047,2739,12823,4096,NA,NA,20500,NA,9990699,3131,NA,NA
NA,NA,NA,NA,NA,10064,2766,12898,4207,NA,NA,7620B,NA,16131,3149,NA,NA
NA,NA,NA,NA,NA,10145,3213,13058,4306,NA,NA,9990260,NA,17270,3237,NA,NA
NA,NA,NA,NA,NA,10174,3346,13181,4501,NA,NA,9990179B,NA,4106,3275,NA,NA
NA,NA,NA,NA,NA,10247,3375,13222,4677,NA,NA,9990216,NA,9990311,3288,NA,NA
NA,NA,NA,NA,NA,10522,3441,13302,4711,NA,NA,9990120,NA,NA,3442,NA,NA
NA,NA,NA,NA,NA,10749,3648,13659,4772,NA,NA,9990735,NA,NA,3520,NA,NA
NA,NA,NA,NA,NA,10893,3724,13753,4823,NA,NA,9990284,NA,NA,3726,NA,NA
NA,NA,NA,NA,NA,10898,3763,14322,4862,NA,NA,9991762,NA,NA,3969,NA,NA
NA,NA,NA,NA,NA,11213,3808,14516,4913,NA,NA,9990126,NA,NA,3994,NA,NA
NA,NA,NA,NA,NA,12461,3813,14552,4935,NA,NA,9990309,NA,NA,4016,NA,NA
NA,NA,NA,NA,NA,12650,3926,15928,4957,NA,NA,9991061,NA,NA,4024,NA,NA
NA,NA,NA,NA,NA,12767,4160,16296,5257,NA,NA,9991673,NA,NA,4039,NA,NA
NA,NA,NA,NA,NA,13054,4254,16933,5285,NA,NA,9991684,NA,NA,4265,NA,NA
NA,NA,NA,NA,NA,13565,4377,17191,5314,NA,NA,9990000,NA,NA,4535,NA,NA
NA,NA,NA,NA,NA,14798,4449,18410,5622,NA,NA,9990062,NA,NA,4563,NA,NA
NA,NA,NA,NA,NA,14967,4544,18447,5632,NA,NA,9990082,NA,NA,4577,NA,NA
NA,NA,NA,NA,NA,15143,4653,18603,5832,NA,NA,9990166,NA,NA,5103,NA,NA
NA,NA,NA,NA,NA,15170,4654,18651,5883,NA,NA,9990243,NA,NA,5158,NA,NA
NA,NA,NA,NA,NA,15275,4684,18870,5895,NA,NA,9990348,NA,NA,5325,NA,NA
NA,NA,NA,NA,NA,15531,4736,18926,6059,NA,NA,9990389,NA,NA,5589,NA,NA
NA,NA,NA,NA,NA,16623,4775,18992,6063,NA,NA,9990727,NA,NA,5614,NA,NA
NA,NA,NA,NA,NA,18061,4813,19606,6218,NA,NA,9990756,NA,NA,5627,NA,NA
NA,NA,NA,NA,NA,18227,4881,20675,6272,NA,NA,9990762,NA,NA,5646,NA,NA
NA,NA,NA,NA,NA,18661,4911,20932,6347,NA,NA,9990890,NA,NA,5649,NA,NA
NA,NA,NA,NA,NA,18746,4914,16735B,6457,NA,NA,9990921,NA,NA,5661,NA,NA
NA,NA,NA,NA,NA,20723,4937,17516B,6485,NA,NA,9991529,NA,NA,5686,NA,NA
NA,NA,NA,NA,NA,10387B,5012,17681B,6533,NA,NA,9991655,NA,NA,5704,NA,NA
NA,NA,NA,NA,NA,13850B,5019,18864B,6913,NA,NA,9991757,NA,NA,5710,NA,NA
NA,NA,NA,NA,NA,15037B,5617,20161B,6928,NA,NA,9993307,NA,NA,5722,NA,NA
NA,NA,NA,NA,NA,17658B,5718,5570B,7132,NA,NA,9990127,NA,NA,5739,NA,NA
NA,NA,NA,NA,NA,18475B,5940,5925B,7373,NA,NA,9990358,NA,NA,5740,NA,NA
NA,NA,NA,NA,NA,18570E,6121,5971B,7595,NA,NA,9991752,NA,NA,5746,NA,NA
NA,NA,NA,NA,NA,19908B,6152,7252B,7783,NA,NA,9991087,NA,NA,5750,NA,NA
NA,NA,NA,NA,NA,2063B,6172,9047B,8111,NA,NA,9990137,NA,NA,5761,NA,NA
NA,NA,NA,NA,NA,4160B,6260,9990368,8186,NA,NA,9990422,NA,NA,5762,NA,NA
NA,NA,NA,NA,NA,4876B,6332,9990594,8195,NA,NA,9990091,NA,NA,5772,NA,NA
NA,NA,NA,NA,NA,506B,6339,9991465,8256,NA,NA,9990039,NA,NA,5784,NA,NA
NA,NA,NA,NA,NA,8857B,6430,9992917,8304,NA,NA,9990041,NA,NA,5786,NA,NA
NA,NA,NA,NA,NA,9249B,6446,9991324,8857,NA,NA,9990220,NA,NA,5790,NA,NA
NA,NA,NA,NA,NA,9883C,6523,9991566,9318,NA,NA,9990253,NA,NA,5791,NA,NA
NA,NA,NA,NA,NA,9991121,6894,9991578,9789,NA,NA,9990287,NA,NA,5792,NA,NA
NA,NA,NA,NA,NA,9991492,7071,9990088,9844,NA,NA,9990294,NA,NA,5800,NA,NA
NA,NA,NA,NA,NA,9991638,7123,9990045,9919,NA,NA,9990295,NA,NA,5831,NA,NA
NA,NA,NA,NA,NA,9991941,7162,9990101,9978,NA,NA,9990317,NA,NA,5928,NA,NA
NA,NA,NA,NA,NA,15238B,7250,9990136,10126,NA,NA,9990351,NA,NA,6188,NA,NA
NA,NA,NA,NA,NA,1592,7306,9990153,10208,NA,NA,9990394,NA,NA,6196,NA,NA
